"marsrutas","sustojimo data","M","BendrasAtstumas","BendrasSvoris","BendrasLaikas","BendraKaina"
32,2018-01-02,1,105.729,244.5,"11:07",14.32
32,2018-01-03,1,106.855,650.5,"11:32",33.47
32,2018-01-04,1,86.214,323.05,"08:43",24.63
32,2018-01-05,1,100.78,382.29,"08:11",24.07
32,2018-01-08,1,75.398,314.33,"07:00",19.6
32,2018-01-09,1,92.454,362.9,"08:28",25.05
32,2018-01-10,1,96.217,282.35,"10:29",24.08
32,2018-01-11,1,82.552,262.24,"08:34",24.81
32,2018-01-12,1,72.82,343.82,"08:32",25.77
32,2018-01-15,1,67.311,242.16,"07:19",16.79
32,2018-01-16,1,77.366,339,"08:58",26.58
32,2018-01-17,1,98.007,465.22,"11:22",28.79
32,2018-01-18,1,85.789,275.92,"08:37",25.57
32,2018-01-19,1,106.419,272.98,"08:38",24.85
32,2018-01-22,1,102.199,296.22,"11:41",21.33
32,2018-01-23,1,75.09,412.77,"09:51",31.23
32,2018-01-24,1,68.799,412.1,"08:45",24.59
32,2018-01-25,1,85.185,496.08,"09:04",28.72
32,2018-01-26,1,110.33,324.86,"07:57",23.94
32,2018-01-29,1,96.873,200.31,"07:21",15.73
32,2018-01-30,1,81.456,382.32,"08:15",27.54
32,2018-01-31,1,82.799,372.9,"09:06",286.34
33,2018-01-02,1,79,460.9,"09:30",16.55
33,2018-01-03,1,84.405,628.88,"08:32",26.06
33,2018-01-04,1,98.219,650.76,"09:30",25.36
33,2018-01-05,1,74,337.35,"08:30",20.37
33,2018-01-08,1,74.376,590.96,"09:16",26.81
33,2018-01-09,1,37.744,318.05,"09:05",22.45
33,2018-01-10,1,88,544.68,"08:51",30.73
33,2018-01-11,1,98.409,421.88,"09:16",30.56
33,2018-01-12,1,86.324,345.6,"09:11",24.41
33,2018-01-15,1,99.221,253.87,"09:22",21.09
33,2018-01-16,1,90.807,297.6,"07:57",25.93
33,2018-01-17,1,25.912,621.88,"09:32",29.17
33,2018-01-18,1,101.326,273.7,"08:57",25.41
33,2018-01-19,1,98.152,347.52,"09:02",25.86
33,2018-01-22,1,99.782,470.81,"08:47",19.74
33,2018-01-23,1,48.134,366.26,"09:07",26.38
33,2018-01-24,1,98.766,461.8,"08:55",27.65
33,2018-01-25,1,59.695,305.98,"08:57",26.55
33,2018-01-26,1,88.026,336.91,"08:16",19.24
33,2018-01-29,1,82.756,249.64,"07:28",12.85
33,2018-01-30,1,82.179,289.83,"09:01",27.44
33,2018-01-31,1,54.207,386.1,"08:40",72.38
34,2018-01-02,1,57,808.52,"08:09",31.79
34,2018-01-03,1,47.11,865.39,"12:18",45.26
34,2018-01-04,1,16.586,814,"09:29",30.98
34,2018-01-05,1,18.204,813.92,"08:09",43.82
34,2018-01-09,1,22.378,224.77,"03:45",11.79
34,2018-01-10,1,18.68,849.12,"09:01",44.96
34,2018-01-11,1,43.192,924.24,"13:56",50.43
34,2018-01-12,1,16.358,669.43,"08:23",39.44
34,2018-01-15,1,80,418.13,"08:33",55.93
35,2018-01-02,1,70.66,202.46,"09:02",20.04
35,2018-01-03,1,79.514,249.15,"10:30",22.46
35,2018-01-04,1,73.42,105.05,"09:53",19.31
35,2018-01-05,1,68.414,366.2,"11:23",24.93
35,2018-01-08,1,43.33,330.84,"10:27",22.94
35,2018-01-09,1,88.957,287.05,"11:29",24.05
35,2018-01-10,1,29.008,223.1,"10:00",21.95
35,2018-01-11,1,26.369,212.65,"09:51",21.06
35,2018-01-12,1,78.137,168.83,"10:47",20.35
35,2018-01-15,1,91.793,251.2,"09:34",21.8
35,2018-01-16,1,81.865,267.28,"09:52",20.51
35,2018-01-17,1,68.586,221.25,"08:07",20.12
35,2018-01-18,1,55.191,232.61,"07:35",17.17
35,2018-01-19,1,74.309,271.28,"10:18",23.14
35,2018-01-22,1,82.461,216.35,"09:16",19.18
35,2018-01-23,1,73.547,340.35,"08:23",22.15
35,2018-01-24,1,82.591,105.9,"09:45",21.5
35,2018-01-25,1,77.537,268.65,"09:37",22.34
35,2018-01-26,1,86.179,253.22,"09:09",15.38
35,2018-01-29,1,70.803,128,"08:55",15.61
35,2018-01-30,1,70.098,304.68,"10:00",17.94
35,2018-01-31,1,72.982,312.25,"08:16",66.98
36,2018-01-02,1,134.011,490.57,"08:04",20.35
36,2018-01-03,1,128.528,970.5,"08:54",32.08
36,2018-01-04,1,135.051,759.4,"08:54",28.59
36,2018-01-05,1,135.617,621.15,"09:13",29.7
36,2018-01-08,1,26.93,595.12,"09:14",29.45
36,2018-01-09,1,109.844,964.7,"09:35",32.82
36,2018-01-10,1,125.846,881.1,"09:46",32.33
36,2018-01-31,1,173,847.92,"08:50",36.57
37,2018-01-02,1,59,209.65,"02:05",7.01
37,2018-01-03,1,36.247,1235.25,"07:09",45.16
37,2018-01-04,1,33.391,1159.47,"06:21",24.82
37,2018-01-05,1,22.458,835.7,"05:43",23.91
37,2018-01-08,1,29.237,1227.5,"07:10",37.85
37,2018-01-09,1,19.833,1134.4,"05:57",33.23
37,2018-01-10,1,43.705,1113.1,"06:40",33.77
37,2018-01-11,1,37.497,656,"06:24",15.22
37,2018-01-12,1,51.071,1459.75,"07:10",41.43
37,2018-01-15,1,25.561,892.9,"05:42",26.87
37,2018-01-16,1,19.033,685.25,"04:41",26.86
37,2018-01-17,1,28.255,1123.9,"07:15",29.29
37,2018-01-18,1,71.142,1157.15,"08:04",32.65
37,2018-01-19,1,46.662,1097.15,"06:56",34.42
37,2018-01-22,1,54.509,1150.6,"08:00",39.64
37,2018-01-23,1,24.545,789.9,"07:44",19.04
37,2018-01-24,1,35.739,1201.25,"05:53",30.96
37,2018-01-25,1,29.396,1008.35,"06:49",28.31
37,2018-01-26,1,25.469,1050.35,"07:26",32.29
37,2018-01-29,1,25.246,964.25,"08:20",30.51
37,2018-01-30,1,21.25,1557.55,"06:27",32.71
37,2018-01-31,1,73.155,1412.5,"07:35",61.44
38,2018-01-02,1,50.411,366.7,"09:15",20.06
38,2018-01-03,1,41.67,381.34,"05:58",35.02
38,2018-01-04,1,39.578,723.5,"07:50",38.17
38,2018-01-05,1,47.923,565.74,"07:20",38.78
38,2018-01-08,1,30.943,480.98,"05:10",30.98
38,2018-01-09,1,48.862,847.4,"08:08",42.87
38,2018-01-10,1,44.588,833.9,"06:38",46.03
